dataset,image_id,filename,path,split
KONIQ-10k,10154991453,10154991453.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10154991453.jpg,train
KONIQ-10k,10155925686,10155925686.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10155925686.jpg,train
KONIQ-10k,101601008,101601008.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/101601008.jpg,train
KONIQ-10k,10164654253,10164654253.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10164654253.jpg,train
KONIQ-10k,10164842933,10164842933.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10164842933.jpg,train
KONIQ-10k,10169304416,10169304416.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10169304416.jpg,train
KONIQ-10k,10173544123,10173544123.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10173544123.jpg,train
KONIQ-10k,1017647143,1017647143.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/1017647143.jpg,train
KONIQ-10k,10177270623,10177270623.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10177270623.jpg,train
KONIQ-10k,10177793964,10177793964.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10177793964.jpg,train
KONIQ-10k,10178112894,10178112894.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10178112894.jpg,train
KONIQ-10k,10178183416,10178183416.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10178183416.jpg,val
KONIQ-10k,10178914656,10178914656.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10178914656.jpg,train
KONIQ-10k,10183769356,10183769356.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10183769356.jpg,train
KONIQ-10k,10186643874,10186643874.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10186643874.jpg,val
KONIQ-10k,10186680555,10186680555.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10186680555.jpg,val
KONIQ-10k,10186832194,10186832194.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10186832194.jpg,train
KONIQ-10k,10187102065,10187102065.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10187102065.jpg,train
KONIQ-10k,10187522803,10187522803.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10187522803.jpg,train
KONIQ-10k,10191607755,10191607755.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10191607755.jpg,train
KONIQ-10k,10196228605,10196228605.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10196228605.jpg,train
KONIQ-10k,10203647273,10203647273.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10203647273.jpg,val
KONIQ-10k,10205220286,10205220286.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10205220286.jpg,train
KONIQ-10k,10206674394,10206674394.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10206674394.jpg,val
KONIQ-10k,10207172624,10207172624.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10207172624.jpg,train
KONIQ-10k,10209014225,10209014225.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10209014225.jpg,train
KONIQ-10k,10209917915,10209917915.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10209917915.jpg,train
KONIQ-10k,10211880874,10211880874.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10211880874.jpg,holdout
KONIQ-10k,10213881683,10213881683.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10213881683.jpg,train
KONIQ-10k,10218118033,10218118033.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10218118033.jpg,train
KONIQ-10k,10221144393,10221144393.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10221144393.jpg,train
KONIQ-10k,10224586444,10224586444.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10224586444.jpg,train
KONIQ-10k,10226277514,10226277514.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10226277514.jpg,train
KONIQ-10k,10226524916,10226524916.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10226524916.jpg,holdout
KONIQ-10k,10227210045,10227210045.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10227210045.jpg,val
KONIQ-10k,10241630856,10241630856.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10241630856.jpg,train
KONIQ-10k,10241895785,10241895785.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10241895785.jpg,train
KONIQ-10k,10244314384,10244314384.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10244314384.jpg,holdout
KONIQ-10k,10244715656,10244715656.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10244715656.jpg,val
KONIQ-10k,10246311914,10246311914.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10246311914.jpg,train
KONIQ-10k,10246318724,10246318724.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10246318724.jpg,train
KONIQ-10k,10258169584,10258169584.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10258169584.jpg,train
KONIQ-10k,10260190424,10260190424.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10260190424.jpg,train
KONIQ-10k,1026198859,1026198859.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/1026198859.jpg,holdout
KONIQ-10k,10262588616,10262588616.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10262588616.jpg,train
KONIQ-10k,10264804094,10264804094.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10264804094.jpg,train
KONIQ-10k,10264984793,10264984793.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10264984793.jpg,train
KONIQ-10k,10265315316,10265315316.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10265315316.jpg,train
KONIQ-10k,10265809113,10265809113.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10265809113.jpg,val
KONIQ-10k,10273804555,10273804555.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10273804555.jpg,train
KONIQ-10k,10278246465,10278246465.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10278246465.jpg,train
KONIQ-10k,1027833701,1027833701.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/1027833701.jpg,train
KONIQ-10k,10279904885,10279904885.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10279904885.jpg,train
KONIQ-10k,10280683815,10280683815.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10280683815.jpg,train
KONIQ-10k,10280835505,10280835505.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10280835505.jpg,holdout
KONIQ-10k,102825508,102825508.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/102825508.jpg,train
KONIQ-10k,10283619534,10283619534.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10283619534.jpg,train
KONIQ-10k,10287677265,10287677265.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10287677265.jpg,train
KONIQ-10k,10289468185,10289468185.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10289468185.jpg,train
KONIQ-10k,10290759976,10290759976.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10290759976.jpg,train
KONIQ-10k,1029470257,1029470257.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/1029470257.jpg,train
KONIQ-10k,10295875445,10295875445.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10295875445.jpg,train
KONIQ-10k,10296038236,10296038236.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10296038236.jpg,holdout
KONIQ-10k,10299438733,10299438733.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10299438733.jpg,holdout
KONIQ-10k,102995966,102995966.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/102995966.jpg,train
KONIQ-10k,10316734944,10316734944.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10316734944.jpg,holdout
KONIQ-10k,10319186405,10319186405.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10319186405.jpg,train
KONIQ-10k,10319713194,10319713194.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10319713194.jpg,train
KONIQ-10k,10325321,10325321.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10325321.jpg,train
KONIQ-10k,10327985614,10327985614.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10327985614.jpg,holdout
KONIQ-10k,10329149264,10329149264.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10329149264.jpg,val
KONIQ-10k,10329235193,10329235193.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10329235193.jpg,train
KONIQ-10k,10330831494,10330831494.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10330831494.jpg,train
KONIQ-10k,10335072144,10335072144.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10335072144.jpg,train
KONIQ-10k,10336689775,10336689775.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10336689775.jpg,val
KONIQ-10k,103400056,103400056.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/103400056.jpg,train
KONIQ-10k,10342569703,10342569703.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10342569703.jpg,train
KONIQ-10k,10344523015,10344523015.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10344523015.jpg,val
KONIQ-10k,10344921126,10344921126.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10344921126.jpg,train
KONIQ-10k,1034624333,1034624333.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/1034624333.jpg,train
KONIQ-10k,10346758803,10346758803.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10346758803.jpg,train
KONIQ-10k,10346796664,10346796664.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10346796664.jpg,train
KONIQ-10k,10349956885,10349956885.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10349956885.jpg,train
KONIQ-10k,10350497833,10350497833.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10350497833.jpg,train
KONIQ-10k,10351189716,10351189716.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10351189716.jpg,train
KONIQ-10k,10353620913,10353620913.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10353620913.jpg,train
KONIQ-10k,10358252894,10358252894.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10358252894.jpg,train
KONIQ-10k,10362672006,10362672006.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10362672006.jpg,train
KONIQ-10k,10366373284,10366373284.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10366373284.jpg,val
KONIQ-10k,1036840624,1036840624.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/1036840624.jpg,holdout
KONIQ-10k,10371125786,10371125786.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10371125786.jpg,holdout
KONIQ-10k,10371211803,10371211803.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10371211803.jpg,train
KONIQ-10k,10372323314,10372323314.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10372323314.jpg,train
KONIQ-10k,10373546175,10373546175.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10373546175.jpg,train
KONIQ-10k,10375167904,10375167904.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10375167904.jpg,train
KONIQ-10k,10382843045,10382843045.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10382843045.jpg,holdout
KONIQ-10k,10387390396,10387390396.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10387390396.jpg,train
KONIQ-10k,10387844376,10387844376.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10387844376.jpg,train
KONIQ-10k,10388184626,10388184626.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10388184626.jpg,train
KONIQ-10k,10395523125,10395523125.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10395523125.jpg,train
KONIQ-10k,10397166423,10397166423.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10397166423.jpg,train
KONIQ-10k,10397631976,10397631976.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10397631976.jpg,train
KONIQ-10k,10399580503,10399580503.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10399580503.jpg,train
KONIQ-10k,10403509543,10403509543.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10403509543.jpg,holdout
KONIQ-10k,10407720764,10407720764.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10407720764.jpg,train
KONIQ-10k,10408374535,10408374535.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10408374535.jpg,train
KONIQ-10k,10408474376,10408474376.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10408474376.jpg,train
KONIQ-10k,10409059825,10409059825.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10409059825.jpg,train
KONIQ-10k,10410038143,10410038143.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10410038143.jpg,train
KONIQ-10k,10412894895,10412894895.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10412894895.jpg,train
KONIQ-10k,10414716033,10414716033.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10414716033.jpg,train
KONIQ-10k,10415628976,10415628976.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10415628976.jpg,train
KONIQ-10k,10415631353,10415631353.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10415631353.jpg,train
KONIQ-10k,104219737,104219737.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/104219737.jpg,train
KONIQ-10k,10422425365,10422425365.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10422425365.jpg,train
KONIQ-10k,10422776735,10422776735.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10422776735.jpg,train
KONIQ-10k,10423472445,10423472445.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10423472445.jpg,train
KONIQ-10k,10429780626,10429780626.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10429780626.jpg,train
KONIQ-10k,10430002553,10430002553.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10430002553.jpg,train
KONIQ-10k,10430335945,10430335945.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10430335945.jpg,train
KONIQ-10k,10440370734,10440370734.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10440370734.jpg,train
KONIQ-10k,10442628686,10442628686.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10442628686.jpg,train
KONIQ-10k,10446770756,10446770756.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10446770756.jpg,val
KONIQ-10k,10446810546,10446810546.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10446810546.jpg,val
KONIQ-10k,10451177016,10451177016.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10451177016.jpg,val
KONIQ-10k,10453950204,10453950204.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10453950204.jpg,holdout
KONIQ-10k,10458591,10458591.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10458591.jpg,train
KONIQ-10k,10458703674,10458703674.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10458703674.jpg,train
KONIQ-10k,10459022813,10459022813.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10459022813.jpg,train
KONIQ-10k,10463545414,10463545414.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10463545414.jpg,train
KONIQ-10k,10463583515,10463583515.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10463583515.jpg,train
KONIQ-10k,10464940425,10464940425.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10464940425.jpg,train
KONIQ-10k,10465121613,10465121613.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10465121613.jpg,train
KONIQ-10k,10465293055,10465293055.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10465293055.jpg,train
KONIQ-10k,10466350116,10466350116.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10466350116.jpg,train
KONIQ-10k,10466453556,10466453556.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10466453556.jpg,train
KONIQ-10k,10468110795,10468110795.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10468110795.jpg,train
KONIQ-10k,10468540574,10468540574.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10468540574.jpg,holdout
KONIQ-10k,10469774844,10469774844.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10469774844.jpg,val
KONIQ-10k,10471406506,10471406506.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10471406506.jpg,train
KONIQ-10k,10474002734,10474002734.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10474002734.jpg,train
KONIQ-10k,10475435053,10475435053.jpg,/data/projectwork/swati_mam/new model data/koniq10k_1024x768/1024x768/10475435053.jpg,train
