dataset,ref_id,distorted_path,ref_path,distortion_type,severity_or_level,mos_or_dmos,split
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,1,4.43,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,2,3.7,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,3,2.77,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,4,2.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,5,1.97,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,1,3.67,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,2,2.87,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,3,2.6,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,4,2.07,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,5,2.03,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,1,4.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,2,3.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,3,3.13,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,4,2.5,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,5,2.27,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,1,3.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,2,2.63,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,3,1.77,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,4,1.4,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,5,1.33,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,1,4.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,2,4.47,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,3,3.94,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,4,3.17,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,5,2.18,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,1,4.5,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,2,4.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,3,4.33,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,4,3.4,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,5,2.13,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,1,4.5,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,2,4.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,3,4.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,4,4.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,5,3.97,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,1,4.53,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,2,3.93,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,3,2.77,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,4,1.53,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,5,1.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,1,4.53,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,2,3.9,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,3,4.0,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,4,3.33,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,5,3.23,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,1,3.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,2,2.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,3,2.03,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,4,2.13,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,5,1.43,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,1,4.63,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,2,4.0,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,3,4.0,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,4,3.2,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,5,2.2,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,1,2.73,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,2,2.17,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,3,2.2,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,4,2.37,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,5,1.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,1,3.57,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,2,2.5,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,3,1.87,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,4,1.6,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,5,1.4,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,1,3.43,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,2,3.87,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,3,4.26,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,4,4.17,train
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,5,3.27,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,1,4.5,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,2,4.17,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,3,2.07,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,4,1.57,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,5,1.27,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,1,3.2,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,2,2.27,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,3,1.57,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,4,1.17,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,5,1.0,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,1,4.6,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,2,3.77,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,3,2.33,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,4,1.8,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,5,1.2,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,1,4.3,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,2,2.67,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,3,1.87,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,4,1.77,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,5,1.53,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,1,3.77,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,2,1.8,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,3,1.33,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,4,1.37,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,5,1.47,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_06_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color quantization,1,4.2,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_06_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color quantization,2,4.07,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_06_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color quantization,3,3.97,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_06_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color quantization,4,3.7,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_06_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color quantization,5,2.63,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_07_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 1,1,2.47,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_07_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 1,2,2.37,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_07_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 1,3,2.06,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_07_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 1,4,1.97,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_07_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 1,5,1.53,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_08_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 2,1,4.4,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_08_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 2,2,3.4,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_08_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 2,3,3.06,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_08_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 2,4,1.97,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_08_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color saturation 2,5,1.37,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_09_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,JPEG2000,1,4.57,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_09_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,JPEG2000,2,3.73,train
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_09_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,JPEG2000,3,3.07,train
