dataset,ref_id,distorted_path,ref_path,distortion_type,severity_or_level,mos_or_dmos,mos_std,distortion_code,distorted_filename,split
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_10_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_10,2,5.94595,0.16192,10,i01_10_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_10_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_10,3,4.91667,0.15404,10,i01_10_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_10_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_10,4,3.21622,0.10902,10,i01_10_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_10_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_10,5,2.08108,0.15934,10,i01_10_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/I01_11_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_11,1,5.91429,0.16349,11,I01_11_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_11_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_11,2,5.675680000000001,0.14329,11,i01_11_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_11_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_11,3,4.69444,0.12922,11,i01_11_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_11_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_11,4,3.67568,0.10847,11,i01_11_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_11_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_11,5,1.45946,0.11839,11,i01_11_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_12_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_12,1,5.94595,0.15734,12,i01_12_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_12_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_12,2,5.86486,0.16732,12,i01_12_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_12_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_12,3,4.21622,0.13315,12,i01_12_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_12_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_12,4,3.83333,0.13889,12,i01_12_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_12_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_12,5,3.43243,0.1180599999999999,12,i01_12_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/I01_13_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_13,1,5.45946,0.13565,13,I01_13_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_13_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_13,2,3.91429,0.09365,13,i01_13_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_13_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_13,3,3.2777800000000004,0.09305,13,i01_13_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_13_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_13,4,3.16667,0.1145299999999999,13,i01_13_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_13_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_13,5,3.10811,0.09955,13,i01_13_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_14_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_14,1,5.69444,0.12922,14,i01_14_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_14_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_14,2,6.05405,0.14777,14,i01_14_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_14_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_14,3,5.75676,0.12908,14,i01_14_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_14_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_14,4,5.55556,0.1329,14,i01_14_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_14_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_14,5,4.4705900000000005,0.1264,14,i01_14_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_15_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_15,1,2.83333,0.12729,15,i01_15_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_15_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_15,2,2.82857,0.12445,15,i01_15_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_15_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_15,3,3.10811,0.15659,15,i01_15_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_15_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_15,4,3.58333,0.13249,15,i01_15_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_15_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_15,5,3.89189,0.15185,15,i01_15_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_16_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_16,1,5.80556,0.14604,16,i01_16_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_16_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_16,2,6.05405,0.21263,16,i01_16_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_16_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_16,3,4.88889,0.12897,16,i01_16_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_16_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_16,4,5.02778,0.14952,16,i01_16_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_16_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_16,5,4.19444,0.1166599999999999,16,i01_16_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_17_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_17,1,5.35135,0.16755,17,i01_17_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_17_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_17,2,6.62162,0.2240199999999999,17,i01_17_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_17_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_17,3,4.08108,0.11705,17,i01_17_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_17_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_17,4,6.24324,0.25182,17,i01_17_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_17_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_17,5,2.97143,0.11055,17,i01_17_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_18_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_18,1,4.62162,0.14976,18,i01_18_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_18_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_18,2,4.22222,0.1527099999999999,18,i01_18_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_18_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_18,3,3.771430000000001,0.12832,18,i01_18_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_18_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_18,4,3.47222,0.13881,18,i01_18_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_18_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_18,5,3.41667,0.14367,18,i01_18_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_19_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_19,1,5.94444,0.17098,19,i01_19_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_19_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_19,2,5.47222,0.1074799999999999,19,i01_19_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_19_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_19,3,5.08108,0.14493,19,i01_19_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_19_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_19,4,4.52778,0.12721,19,i01_19_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_19_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_19,5,3.94444,0.11072,19,i01_19_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_20_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_20,1,5.85714,0.14648,20,i01_20_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_20_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_20,2,5.83333,0.13889,20,i01_20_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_20_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_20,3,6.02778,0.12099,20,i01_20_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_20_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_20,4,5.08333,0.09919,20,i01_20_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_20_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_20,5,4.33333,0.12423,20,i01_20_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_21_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_21,1,5.7027,0.16601,21,i01_21_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_21_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_21,2,5.27778,0.10101,21,i01_21_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_21_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_21,3,4.675680000000001,0.12119,21,i01_21_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_21_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_21,4,4.05714,0.13964,21,i01_21_4.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_21_5.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_21,5,3.05405,0.11432,21,i01_21_5.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_22_1.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_22,1,5.55556,0.1329,22,i01_22_1.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_22_2.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_22,2,5.18919,0.14218,22,i01_22_2.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_22_3.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_22,3,4.30556,0.10985,22,i01_22_3.bmp,holdout
TID2013,I01,/data/projectwork/swati_mam/new model data/tid2013/tid2013/distorted_images/i01_22_4.bmp,/data/projectwork/swati_mam/new model data/tid2013/tid2013/reference_images/I01.BMP,type_22,4,3.16216,0.10477,22,i01_22_4.bmp,holdout
