dataset,image_id,ref_id,distorted_path,ref_path,distortion_type,distortion_code,severity_or_level,mos_or_dmos,split
KADID-10k,I01_03_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,NA,4,2.03,train
KADID-10k,I01_03_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_03_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,NA,5,1.5,train
KADID-10k,I01_04_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,NA,1,4.73,train
KADID-10k,I01_04_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,NA,2,2.17,train
KADID-10k,I01_04_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,NA,3,1.37,train
KADID-10k,I01_04_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,NA,4,1.5,train
KADID-10k,I01_04_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_04_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color diffusion,NA,5,1.47,train
KADID-10k,I01_05_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,NA,1,4.0,train
KADID-10k,I01_05_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,NA,2,2.2,train
KADID-10k,I01_05_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,NA,3,1.57,train
KADID-10k,I01_05_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,NA,4,1.33,train
KADID-10k,I01_05_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_05_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color shift,NA,5,1.6,train
KADID-10k,I01_06_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,NA,1,4.23,train
KADID-10k,I01_06_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,NA,2,4.4,train
KADID-10k,I01_06_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,NA,3,3.9,train
KADID-10k,I01_06_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,NA,4,2.9,train
KADID-10k,I01_06_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,NA,5,2.27,train
KADID-10k,I01_07_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,NA,1,2.73,train
KADID-10k,I01_07_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,NA,2,2.5,train
KADID-10k,I01_07_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,NA,3,2.27,train
KADID-10k,I01_07_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,NA,4,2.47,train
KADID-10k,I01_07_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,NA,5,2.2,train
KADID-10k,I01_08_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,NA,1,4.7,train
KADID-10k,I01_08_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,NA,2,3.77,train
KADID-10k,I01_08_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,NA,3,2.73,train
KADID-10k,I01_08_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,NA,4,1.97,train
KADID-10k,I01_08_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,NA,5,1.67,train
KADID-10k,I01_09_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,NA,1,4.6,train
KADID-10k,I01_09_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,NA,2,4.67,train
KADID-10k,I01_09_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,NA,3,4.4,train
KADID-10k,I01_09_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,NA,4,2.9,train
KADID-10k,I01_09_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,NA,5,1.37,train
KADID-10k,I01_10_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,NA,1,4.37,train
KADID-10k,I01_10_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,NA,2,3.93,train
KADID-10k,I01_10_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,NA,3,3.77,train
KADID-10k,I01_10_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,NA,4,1.58,train
KADID-10k,I01_10_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,NA,5,1.17,train
KADID-10k,I01_11_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,NA,1,4.03,train
KADID-10k,I01_11_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,NA,2,3.27,train
KADID-10k,I01_11_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,NA,3,2.67,train
KADID-10k,I01_11_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,NA,4,2.27,train
KADID-10k,I01_11_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,NA,5,2.37,train
KADID-10k,I01_12_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,NA,1,4.43,train
KADID-10k,I01_12_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,NA,2,3.7,train
KADID-10k,I01_12_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,NA,3,2.77,train
KADID-10k,I01_12_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,NA,4,2.37,train
KADID-10k,I01_12_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,NA,5,1.97,train
KADID-10k,I01_13_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,NA,1,3.67,train
KADID-10k,I01_13_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,NA,2,2.87,train
KADID-10k,I01_13_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,NA,3,2.6,train
KADID-10k,I01_13_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,NA,4,2.07,train
KADID-10k,I01_13_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,NA,5,2.03,train
KADID-10k,I01_14_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,NA,1,4.57,train
KADID-10k,I01_14_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,NA,2,3.57,train
KADID-10k,I01_14_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,NA,3,3.13,train
KADID-10k,I01_14_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,NA,4,2.5,train
KADID-10k,I01_14_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,NA,5,2.27,train
KADID-10k,I01_15_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,NA,1,3.57,train
KADID-10k,I01_15_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,NA,2,2.63,train
KADID-10k,I01_15_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,NA,3,1.77,train
KADID-10k,I01_15_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,NA,4,1.4,train
KADID-10k,I01_15_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,NA,5,1.33,train
KADID-10k,I01_16_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,NA,1,4.37,train
KADID-10k,I01_16_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,NA,2,4.47,train
KADID-10k,I01_16_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,NA,3,3.94,train
KADID-10k,I01_16_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,NA,4,3.17,train
KADID-10k,I01_16_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,NA,5,2.18,train
KADID-10k,I01_17_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,NA,1,4.5,train
KADID-10k,I01_17_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,NA,2,4.57,train
KADID-10k,I01_17_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,NA,3,4.33,train
KADID-10k,I01_17_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,NA,4,3.4,train
KADID-10k,I01_17_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,NA,5,2.13,train
KADID-10k,I01_18_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,NA,1,4.5,train
KADID-10k,I01_18_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,NA,2,4.57,train
KADID-10k,I01_18_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,NA,3,4.57,train
KADID-10k,I01_18_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,NA,4,4.37,train
KADID-10k,I01_18_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,NA,5,3.97,train
KADID-10k,I01_19_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,NA,1,4.53,train
KADID-10k,I01_19_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,NA,2,3.93,train
KADID-10k,I01_19_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,NA,3,2.77,train
KADID-10k,I01_19_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,NA,4,1.53,train
KADID-10k,I01_19_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,NA,5,1.37,train
KADID-10k,I01_20_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,NA,1,4.53,train
KADID-10k,I01_20_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,NA,2,3.9,train
KADID-10k,I01_20_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,NA,3,4.0,train
KADID-10k,I01_20_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,NA,4,3.33,train
KADID-10k,I01_20_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,NA,5,3.23,train
KADID-10k,I01_21_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,NA,1,3.37,train
KADID-10k,I01_21_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,NA,2,2.57,train
KADID-10k,I01_21_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,NA,3,2.03,train
KADID-10k,I01_21_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,NA,4,2.13,train
KADID-10k,I01_21_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,NA,5,1.43,train
KADID-10k,I01_22_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,NA,1,4.63,train
KADID-10k,I01_22_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,NA,2,4.0,train
KADID-10k,I01_22_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,NA,3,4.0,train
KADID-10k,I01_22_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,NA,4,3.2,train
KADID-10k,I01_22_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,NA,5,2.2,train
KADID-10k,I01_23_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,NA,1,2.73,train
KADID-10k,I01_23_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,NA,2,2.17,train
KADID-10k,I01_23_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,NA,3,2.2,train
KADID-10k,I01_23_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,NA,4,2.37,train
KADID-10k,I01_23_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,NA,5,1.57,train
KADID-10k,I01_24_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,NA,1,3.57,train
KADID-10k,I01_24_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,NA,2,2.5,train
KADID-10k,I01_24_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,NA,3,1.87,train
KADID-10k,I01_24_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,NA,4,1.6,train
KADID-10k,I01_24_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,NA,5,1.4,train
KADID-10k,I01_25_01,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,NA,1,3.43,train
KADID-10k,I01_25_02,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,NA,2,3.87,train
KADID-10k,I01_25_03,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,NA,3,4.26,train
KADID-10k,I01_25_04,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,NA,4,4.17,train
KADID-10k,I01_25_05,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,NA,5,3.27,train
KADID-10k,I02_01_01,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,NA,1,4.5,train
KADID-10k,I02_01_02,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,NA,2,4.17,train
KADID-10k,I02_01_03,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,NA,3,2.07,train
KADID-10k,I02_01_04,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,NA,4,1.57,train
KADID-10k,I02_01_05,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,NA,5,1.27,train
KADID-10k,I02_02_01,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,NA,1,3.2,train
KADID-10k,I02_02_02,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,NA,2,2.27,train
KADID-10k,I02_02_03,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,NA,3,1.57,train
KADID-10k,I02_02_04,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,NA,4,1.17,train
KADID-10k,I02_02_05,I02,/data/projectwork/swati_mam/kadid10k/images/I02_02_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Lens blur,NA,5,1.0,train
KADID-10k,I02_03_01,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,NA,1,4.6,train
KADID-10k,I02_03_02,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,NA,2,3.77,train
KADID-10k,I02_03_03,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,NA,3,2.33,train
KADID-10k,I02_03_04,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,NA,4,1.8,train
KADID-10k,I02_03_05,I02,/data/projectwork/swati_mam/kadid10k/images/I02_03_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Motion blur,NA,5,1.2,train
KADID-10k,I02_04_01,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,NA,1,4.3,train
KADID-10k,I02_04_02,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,NA,2,2.67,train
KADID-10k,I02_04_03,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,NA,3,1.87,train
KADID-10k,I02_04_04,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,NA,4,1.77,train
KADID-10k,I02_04_05,I02,/data/projectwork/swati_mam/kadid10k/images/I02_04_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color diffusion,NA,5,1.53,train
KADID-10k,I02_05_01,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,NA,1,3.77,train
KADID-10k,I02_05_02,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,NA,2,1.8,train
KADID-10k,I02_05_03,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,NA,3,1.33,train
KADID-10k,I02_05_04,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,NA,4,1.37,train
KADID-10k,I02_05_05,I02,/data/projectwork/swati_mam/kadid10k/images/I02_05_05.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Color shift,NA,5,1.47,train
