dataset,image_id,ref_id,distortion_type,severity_or_level,distorted_path,group
KADID-10k,I26_24_02,I26,High sharpen,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_24_02.png,HF/sharpen
KADID-10k,I26_24_04,I26,High sharpen,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_24_04.png,HF/sharpen
KADID-10k,I26_24_05,I26,High sharpen,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_24_05.png,HF/sharpen
KADID-10k,I26_13_04,I26,Impulse noise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_13_04.png,noise
KADID-10k,I26_10_01,I26,JPEG,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_01.png,other
KADID-10k,I26_10_02,I26,JPEG,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_02.png,other
KADID-10k,I26_10_03,I26,JPEG,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_03.png,other
KADID-10k,I26_10_05,I26,JPEG,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_05.png,other
KADID-10k,I26_09_01,I26,JPEG2000,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_01.png,other
KADID-10k,I26_09_02,I26,JPEG2000,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_02.png,other
KADID-10k,I26_09_04,I26,JPEG2000,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_04.png,other
KADID-10k,I26_19_02,I26,Jitter,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_19_02.png,other
KADID-10k,I26_19_04,I26,Jitter,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_19_04.png,other
KADID-10k,I26_02_02,I26,Lens blur,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_02_02.png,blur
KADID-10k,I26_02_04,I26,Lens blur,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_02_04.png,blur
KADID-10k,I26_02_05,I26,Lens blur,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_02_05.png,blur
KADID-10k,I26_18_01,I26,Mean shift,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_18_01.png,other
KADID-10k,I26_18_02,I26,Mean shift,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_18_02.png,other
KADID-10k,I26_18_04,I26,Mean shift,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_18_04.png,other
KADID-10k,I26_14_02,I26,Multiplicative noise,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_14_02.png,noise
KADID-10k,I26_14_05,I26,Multiplicative noise,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_14_05.png,noise
KADID-10k,I26_20_01,I26,Non-eccentricity patch,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_20_01.png,other
KADID-10k,I26_20_02,I26,Non-eccentricity patch,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_20_02.png,other
KADID-10k,I26_21_01,I26,Pixelate,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_21_01.png,other
KADID-10k,I26_21_03,I26,Pixelate,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_21_03.png,other
KADID-10k,I26_21_05,I26,Pixelate,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_21_05.png,other
KADID-10k,I26_22_02,I26,Quantization,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_22_02.png,other
KADID-10k,I26_22_04,I26,Quantization,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_22_04.png,other
KADID-10k,I26_11_01,I26,White noise,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_11_01.png,noise
KADID-10k,I26_11_04,I26,White noise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_11_04.png,noise
KADID-10k,I26_12_04,I26,White noise in color component,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_12_04.png,noise
KADID-10k,I26_12_05,I26,White noise in color component,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_12_05.png,noise
KADID-10k,I27_16_02,I27,Brighten,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_16_02.png,other
KADID-10k,I27_16_04,I27,Brighten,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_16_04.png,other
KADID-10k,I27_16_05,I27,Brighten,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_16_05.png,other
KADID-10k,I27_23_02,I27,Color block,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_23_02.png,other
KADID-10k,I27_04_01,I27,Color diffusion,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_04_01.png,other
KADID-10k,I27_04_02,I27,Color diffusion,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_04_02.png,other
KADID-10k,I27_04_04,I27,Color diffusion,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_04_04.png,other
KADID-10k,I27_04_05,I27,Color diffusion,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_04_05.png,other
KADID-10k,I27_06_01,I27,Color quantization,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_06_01.png,other
KADID-10k,I27_06_02,I27,Color quantization,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_06_02.png,other
KADID-10k,I27_06_03,I27,Color quantization,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_06_03.png,other
KADID-10k,I27_06_05,I27,Color quantization,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_06_05.png,other
KADID-10k,I27_07_03,I27,Color saturation 1,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_07_03.png,other
KADID-10k,I27_07_04,I27,Color saturation 1,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_07_04.png,other
KADID-10k,I27_05_01,I27,Color shift,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_05_01.png,other
KADID-10k,I27_05_02,I27,Color shift,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_05_02.png,other
KADID-10k,I27_05_04,I27,Color shift,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_05_04.png,other
KADID-10k,I27_25_03,I27,Contrast change,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_25_03.png,other
KADID-10k,I27_25_04,I27,Contrast change,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_25_04.png,other
KADID-10k,I27_25_05,I27,Contrast change,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_25_05.png,other
KADID-10k,I27_17_03,I27,Darken,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_17_03.png,other
KADID-10k,I27_17_04,I27,Darken,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_17_04.png,other
KADID-10k,I27_15_01,I27,Denoise,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_15_01.png,noise
KADID-10k,I27_15_02,I27,Denoise,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_15_02.png,noise
KADID-10k,I27_15_04,I27,Denoise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_15_04.png,noise
KADID-10k,I27_15_05,I27,Denoise,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_15_05.png,noise
KADID-10k,I27_01_01,I27,Gaussian blur,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_01_01.png,blur
KADID-10k,I27_01_03,I27,Gaussian blur,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_01_03.png,blur
KADID-10k,I27_01_04,I27,Gaussian blur,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_01_04.png,blur
KADID-10k,I27_01_05,I27,Gaussian blur,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_01_05.png,blur
KADID-10k,I27_24_02,I27,High sharpen,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_24_02.png,HF/sharpen
KADID-10k,I27_24_03,I27,High sharpen,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_24_03.png,HF/sharpen
KADID-10k,I27_24_05,I27,High sharpen,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_24_05.png,HF/sharpen
KADID-10k,I27_13_01,I27,Impulse noise,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_13_01.png,noise
KADID-10k,I27_13_04,I27,Impulse noise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_13_04.png,noise
KADID-10k,I27_10_03,I27,JPEG,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_10_03.png,other
KADID-10k,I27_10_04,I27,JPEG,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_10_04.png,other
KADID-10k,I27_10_05,I27,JPEG,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_10_05.png,other
KADID-10k,I27_09_01,I27,JPEG2000,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_09_01.png,other
KADID-10k,I27_09_02,I27,JPEG2000,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_09_02.png,other
KADID-10k,I27_09_04,I27,JPEG2000,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_09_04.png,other
KADID-10k,I27_09_05,I27,JPEG2000,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_09_05.png,other
KADID-10k,I27_19_04,I27,Jitter,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_19_04.png,other
KADID-10k,I27_02_04,I27,Lens blur,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_02_04.png,blur
KADID-10k,I27_02_05,I27,Lens blur,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_02_05.png,blur
KADID-10k,I27_18_01,I27,Mean shift,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_18_01.png,other
KADID-10k,I27_18_02,I27,Mean shift,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_18_02.png,other
KADID-10k,I27_18_03,I27,Mean shift,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_18_03.png,other
KADID-10k,I27_18_05,I27,Mean shift,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_18_05.png,other
KADID-10k,I27_03_01,I27,Motion blur,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_03_01.png,blur
KADID-10k,I27_03_04,I27,Motion blur,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_03_04.png,blur
KADID-10k,I27_14_01,I27,Multiplicative noise,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_14_01.png,noise
KADID-10k,I27_14_02,I27,Multiplicative noise,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_14_02.png,noise
KADID-10k,I27_14_03,I27,Multiplicative noise,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_14_03.png,noise
KADID-10k,I27_14_05,I27,Multiplicative noise,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_14_05.png,noise
KADID-10k,I27_20_02,I27,Non-eccentricity patch,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_20_02.png,other
KADID-10k,I27_20_03,I27,Non-eccentricity patch,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_20_03.png,other
KADID-10k,I27_20_04,I27,Non-eccentricity patch,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_20_04.png,other
KADID-10k,I27_21_02,I27,Pixelate,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_21_02.png,other
KADID-10k,I27_21_04,I27,Pixelate,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_21_04.png,other
KADID-10k,I27_22_02,I27,Quantization,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_22_02.png,other
KADID-10k,I27_22_03,I27,Quantization,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_22_03.png,other
KADID-10k,I27_22_05,I27,Quantization,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_22_05.png,other
KADID-10k,I27_11_01,I27,White noise,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_11_01.png,noise
KADID-10k,I27_11_03,I27,White noise,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_11_03.png,noise
KADID-10k,I27_11_04,I27,White noise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_11_04.png,noise
KADID-10k,I27_11_05,I27,White noise,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_11_05.png,noise
KADID-10k,I27_12_03,I27,White noise in color component,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I27_12_03.png,noise
KADID-10k,I28_16_01,I28,Brighten,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_16_01.png,other
KADID-10k,I28_16_02,I28,Brighten,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_16_02.png,other
KADID-10k,I28_16_05,I28,Brighten,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_16_05.png,other
KADID-10k,I28_23_02,I28,Color block,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_23_02.png,other
KADID-10k,I28_23_04,I28,Color block,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_23_04.png,other
KADID-10k,I28_23_05,I28,Color block,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_23_05.png,other
KADID-10k,I28_04_01,I28,Color diffusion,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_04_01.png,other
KADID-10k,I28_04_02,I28,Color diffusion,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_04_02.png,other
KADID-10k,I28_06_01,I28,Color quantization,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_06_01.png,other
KADID-10k,I28_06_02,I28,Color quantization,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_06_02.png,other
KADID-10k,I28_07_01,I28,Color saturation 1,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_07_01.png,other
KADID-10k,I28_07_02,I28,Color saturation 1,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_07_02.png,other
KADID-10k,I28_07_03,I28,Color saturation 1,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_07_03.png,other
KADID-10k,I28_07_04,I28,Color saturation 1,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_07_04.png,other
KADID-10k,I28_07_05,I28,Color saturation 1,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_07_05.png,other
KADID-10k,I28_08_01,I28,Color saturation 2,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_08_01.png,other
KADID-10k,I28_08_03,I28,Color saturation 2,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_08_03.png,other
KADID-10k,I28_05_02,I28,Color shift,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_05_02.png,other
KADID-10k,I28_05_03,I28,Color shift,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_05_03.png,other
KADID-10k,I28_25_01,I28,Contrast change,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_25_01.png,other
KADID-10k,I28_25_02,I28,Contrast change,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_25_02.png,other
KADID-10k,I28_25_03,I28,Contrast change,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_25_03.png,other
KADID-10k,I28_25_05,I28,Contrast change,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_25_05.png,other
KADID-10k,I28_17_01,I28,Darken,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_17_01.png,other
KADID-10k,I28_17_02,I28,Darken,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_17_02.png,other
KADID-10k,I28_17_03,I28,Darken,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_17_03.png,other
KADID-10k,I28_17_05,I28,Darken,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_17_05.png,other
KADID-10k,I28_15_02,I28,Denoise,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_15_02.png,noise
KADID-10k,I28_15_03,I28,Denoise,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_15_03.png,noise
KADID-10k,I28_15_04,I28,Denoise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_15_04.png,noise
KADID-10k,I28_15_05,I28,Denoise,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_15_05.png,noise
KADID-10k,I28_01_01,I28,Gaussian blur,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_01_01.png,blur
KADID-10k,I28_01_03,I28,Gaussian blur,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_01_03.png,blur
KADID-10k,I28_01_04,I28,Gaussian blur,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_01_04.png,blur
KADID-10k,I28_24_01,I28,High sharpen,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_24_01.png,HF/sharpen
KADID-10k,I28_24_02,I28,High sharpen,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_24_02.png,HF/sharpen
KADID-10k,I28_24_03,I28,High sharpen,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_24_03.png,HF/sharpen
KADID-10k,I28_24_04,I28,High sharpen,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_24_04.png,HF/sharpen
KADID-10k,I28_24_05,I28,High sharpen,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_24_05.png,HF/sharpen
KADID-10k,I28_13_01,I28,Impulse noise,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_13_01.png,noise
KADID-10k,I28_13_02,I28,Impulse noise,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_13_02.png,noise
KADID-10k,I28_13_03,I28,Impulse noise,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_13_03.png,noise
KADID-10k,I28_13_05,I28,Impulse noise,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_13_05.png,noise
KADID-10k,I28_10_02,I28,JPEG,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_10_02.png,other
KADID-10k,I28_10_04,I28,JPEG,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_10_04.png,other
KADID-10k,I28_10_05,I28,JPEG,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_10_05.png,other
KADID-10k,I28_09_02,I28,JPEG2000,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_09_02.png,other
KADID-10k,I28_09_03,I28,JPEG2000,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_09_03.png,other
KADID-10k,I28_09_04,I28,JPEG2000,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_09_04.png,other
KADID-10k,I28_09_05,I28,JPEG2000,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_09_05.png,other
KADID-10k,I28_19_01,I28,Jitter,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_19_01.png,other
KADID-10k,I28_19_02,I28,Jitter,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_19_02.png,other
KADID-10k,I28_19_03,I28,Jitter,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_19_03.png,other
KADID-10k,I28_19_04,I28,Jitter,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_19_04.png,other
KADID-10k,I28_19_05,I28,Jitter,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_19_05.png,other
KADID-10k,I28_02_02,I28,Lens blur,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_02_02.png,blur
KADID-10k,I28_02_03,I28,Lens blur,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_02_03.png,blur
KADID-10k,I28_02_04,I28,Lens blur,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_02_04.png,blur
KADID-10k,I28_02_05,I28,Lens blur,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_02_05.png,blur
KADID-10k,I28_18_02,I28,Mean shift,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_18_02.png,other
KADID-10k,I28_18_05,I28,Mean shift,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_18_05.png,other
KADID-10k,I28_03_02,I28,Motion blur,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_03_02.png,blur
KADID-10k,I28_03_03,I28,Motion blur,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_03_03.png,blur
KADID-10k,I28_03_05,I28,Motion blur,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_03_05.png,blur
KADID-10k,I28_14_02,I28,Multiplicative noise,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_14_02.png,noise
KADID-10k,I28_14_04,I28,Multiplicative noise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_14_04.png,noise
KADID-10k,I28_20_01,I28,Non-eccentricity patch,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_20_01.png,other
KADID-10k,I28_20_02,I28,Non-eccentricity patch,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_20_02.png,other
KADID-10k,I28_20_03,I28,Non-eccentricity patch,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_20_03.png,other
KADID-10k,I28_20_04,I28,Non-eccentricity patch,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_20_04.png,other
KADID-10k,I28_20_05,I28,Non-eccentricity patch,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_20_05.png,other
KADID-10k,I28_21_01,I28,Pixelate,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_21_01.png,other
KADID-10k,I28_21_04,I28,Pixelate,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_21_04.png,other
KADID-10k,I28_22_01,I28,Quantization,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_22_01.png,other
KADID-10k,I28_22_02,I28,Quantization,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_22_02.png,other
KADID-10k,I28_22_03,I28,Quantization,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_22_03.png,other
KADID-10k,I28_22_04,I28,Quantization,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_22_04.png,other
KADID-10k,I28_22_05,I28,Quantization,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_22_05.png,other
KADID-10k,I28_11_01,I28,White noise,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_11_01.png,noise
KADID-10k,I28_11_02,I28,White noise,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_11_02.png,noise
KADID-10k,I28_11_03,I28,White noise,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_11_03.png,noise
KADID-10k,I28_11_04,I28,White noise,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_11_04.png,noise
KADID-10k,I28_12_01,I28,White noise in color component,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_12_01.png,noise
KADID-10k,I28_12_02,I28,White noise in color component,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_12_02.png,noise
KADID-10k,I28_12_05,I28,White noise in color component,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I28_12_05.png,noise
KADID-10k,I30_16_01,I30,Brighten,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_16_01.png,other
KADID-10k,I30_16_02,I30,Brighten,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_16_02.png,other
KADID-10k,I30_16_03,I30,Brighten,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_16_03.png,other
KADID-10k,I30_23_01,I30,Color block,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_23_01.png,other
KADID-10k,I30_23_02,I30,Color block,2,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_23_02.png,other
KADID-10k,I30_23_03,I30,Color block,3,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_23_03.png,other
KADID-10k,I30_23_04,I30,Color block,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_23_04.png,other
KADID-10k,I30_06_01,I30,Color quantization,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_06_01.png,other
KADID-10k,I30_06_04,I30,Color quantization,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_06_04.png,other
KADID-10k,I30_06_05,I30,Color quantization,5,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_06_05.png,other
KADID-10k,I30_07_04,I30,Color saturation 1,4,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_07_04.png,other
KADID-10k,I30_05_01,I30,Color shift,1,/data/projectwork/swati_mam/new model data/kadid10k/images/I30_05_01.png,other
