ref_id,distortion_type,path_mild,path_severe,sev_mild,sev_severe,abs_dEH,dataset,image_id_mild,image_id_severe
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_04.png,1.0,4.0,1.649169921875,KADID-10k,I01_23_01,I01_23_04
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_05.png,1.0,5.0,2.8173828125,KADID-10k,I01_23_01,I01_23_05
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_03.png,2.0,3.0,2.1875,KADID-10k,I01_23_02,I01_23_03
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_04.png,2.0,4.0,0.463134765625,KADID-10k,I01_23_02,I01_23_04
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_05.png,2.0,5.0,1.63134765625,KADID-10k,I01_23_02,I01_23_05
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_04.png,3.0,4.0,2.650634765625,KADID-10k,I01_23_03,I01_23_04
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_05.png,3.0,5.0,3.81884765625,KADID-10k,I01_23_03,I01_23_05
I01,Color block,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_23_05.png,4.0,5.0,1.168212890625,KADID-10k,I01_23_04,I01_23_05
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_02.png,1.0,2.0,4.375732421875,KADID-10k,I01_04_01,I01_04_02
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_03.png,1.0,3.0,11.551513671875,KADID-10k,I01_04_01,I01_04_03
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_04.png,1.0,4.0,14.0595703125,KADID-10k,I01_04_01,I01_04_04
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_05.png,1.0,5.0,20.52783203125,KADID-10k,I01_04_01,I01_04_05
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_03.png,2.0,3.0,7.17578125,KADID-10k,I01_04_02,I01_04_03
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_04.png,2.0,4.0,9.683837890625,KADID-10k,I01_04_02,I01_04_04
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_05.png,2.0,5.0,16.152099609375,KADID-10k,I01_04_02,I01_04_05
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_04.png,3.0,4.0,2.508056640625,KADID-10k,I01_04_03,I01_04_04
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_05.png,3.0,5.0,8.976318359375,KADID-10k,I01_04_03,I01_04_05
I01,Color diffusion,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_04_05.png,4.0,5.0,6.46826171875,KADID-10k,I01_04_04,I01_04_05
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_02.png,1.0,2.0,2.03271484375,KADID-10k,I01_06_01,I01_06_02
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_03.png,1.0,3.0,3.3876953125,KADID-10k,I01_06_01,I01_06_03
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_04.png,1.0,4.0,4.45361328125,KADID-10k,I01_06_01,I01_06_04
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_05.png,1.0,5.0,9.07373046875,KADID-10k,I01_06_01,I01_06_05
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_03.png,2.0,3.0,1.35498046875,KADID-10k,I01_06_02,I01_06_03
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_04.png,2.0,4.0,2.4208984375,KADID-10k,I01_06_02,I01_06_04
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_05.png,2.0,5.0,7.041015625,KADID-10k,I01_06_02,I01_06_05
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_04.png,3.0,4.0,1.06591796875,KADID-10k,I01_06_03,I01_06_04
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_05.png,3.0,5.0,5.68603515625,KADID-10k,I01_06_03,I01_06_05
I01,Color quantization,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_06_05.png,4.0,5.0,4.6201171875,KADID-10k,I01_06_04,I01_06_05
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_02.png,1.0,2.0,3.62744140625,KADID-10k,I01_07_01,I01_07_02
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_03.png,1.0,3.0,7.796630859375,KADID-10k,I01_07_01,I01_07_03
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_04.png,1.0,4.0,13.766845703125,KADID-10k,I01_07_01,I01_07_04
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_05.png,1.0,5.0,5.41259765625,KADID-10k,I01_07_01,I01_07_05
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_03.png,2.0,3.0,4.169189453125,KADID-10k,I01_07_02,I01_07_03
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_04.png,2.0,4.0,10.139404296875,KADID-10k,I01_07_02,I01_07_04
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_05.png,2.0,5.0,1.78515625,KADID-10k,I01_07_02,I01_07_05
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_04.png,3.0,4.0,5.97021484375,KADID-10k,I01_07_03,I01_07_04
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_05.png,3.0,5.0,2.384033203125,KADID-10k,I01_07_03,I01_07_05
I01,Color saturation 1,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_07_05.png,4.0,5.0,8.354248046875,KADID-10k,I01_07_04,I01_07_05
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_02.png,1.0,2.0,1.169921875,KADID-10k,I01_08_01,I01_08_02
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_03.png,1.0,3.0,3.527099609375,KADID-10k,I01_08_01,I01_08_03
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_04.png,1.0,4.0,8.803955078125,KADID-10k,I01_08_01,I01_08_04
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_05.png,1.0,5.0,13.00146484375,KADID-10k,I01_08_01,I01_08_05
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_03.png,2.0,3.0,2.357177734375,KADID-10k,I01_08_02,I01_08_03
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_04.png,2.0,4.0,7.634033203125,KADID-10k,I01_08_02,I01_08_04
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_05.png,2.0,5.0,11.83154296875,KADID-10k,I01_08_02,I01_08_05
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_04.png,3.0,4.0,5.27685546875,KADID-10k,I01_08_03,I01_08_04
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_05.png,3.0,5.0,9.474365234375,KADID-10k,I01_08_03,I01_08_05
I01,Color saturation 2,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_08_05.png,4.0,5.0,4.197509765625,KADID-10k,I01_08_04,I01_08_05
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_02.png,1.0,2.0,1.85400390625,KADID-10k,I01_05_01,I01_05_02
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_03.png,1.0,3.0,0.791259765625,KADID-10k,I01_05_01,I01_05_03
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_04.png,1.0,4.0,0.36865234375,KADID-10k,I01_05_01,I01_05_04
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_05.png,1.0,5.0,0.6904296875,KADID-10k,I01_05_01,I01_05_05
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_03.png,2.0,3.0,1.062744140625,KADID-10k,I01_05_02,I01_05_03
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_04.png,2.0,4.0,1.4853515625,KADID-10k,I01_05_02,I01_05_04
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_05.png,2.0,5.0,1.16357421875,KADID-10k,I01_05_02,I01_05_05
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_04.png,3.0,4.0,0.422607421875,KADID-10k,I01_05_03,I01_05_04
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_05.png,3.0,5.0,0.100830078125,KADID-10k,I01_05_03,I01_05_05
I01,Color shift,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_05_05.png,4.0,5.0,0.32177734375,KADID-10k,I01_05_04,I01_05_05
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_02.png,1.0,2.0,3.039306640625,KADID-10k,I01_25_01,I01_25_02
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_03.png,1.0,3.0,3.845703125,KADID-10k,I01_25_01,I01_25_03
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_04.png,1.0,4.0,1.787353515625,KADID-10k,I01_25_01,I01_25_04
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_05.png,1.0,5.0,0.24169921875,KADID-10k,I01_25_01,I01_25_05
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_03.png,2.0,3.0,0.806396484375,KADID-10k,I01_25_02,I01_25_03
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_04.png,2.0,4.0,1.251953125,KADID-10k,I01_25_02,I01_25_04
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_05.png,2.0,5.0,3.281005859375,KADID-10k,I01_25_02,I01_25_05
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_04.png,3.0,4.0,2.058349609375,KADID-10k,I01_25_03,I01_25_04
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_05.png,3.0,5.0,4.08740234375,KADID-10k,I01_25_03,I01_25_05
I01,Contrast change,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_25_05.png,4.0,5.0,2.029052734375,KADID-10k,I01_25_04,I01_25_05
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_02.png,1.0,2.0,0.19921875,KADID-10k,I01_17_01,I01_17_02
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_03.png,1.0,3.0,0.472900390625,KADID-10k,I01_17_01,I01_17_03
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_04.png,1.0,4.0,0.43359375,KADID-10k,I01_17_01,I01_17_04
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_05.png,1.0,5.0,11.554931640625,KADID-10k,I01_17_01,I01_17_05
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_03.png,2.0,3.0,0.273681640625,KADID-10k,I01_17_02,I01_17_03
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_04.png,2.0,4.0,0.234375,KADID-10k,I01_17_02,I01_17_04
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_05.png,2.0,5.0,11.754150390625,KADID-10k,I01_17_02,I01_17_05
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_04.png,3.0,4.0,0.039306640625,KADID-10k,I01_17_03,I01_17_04
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_05.png,3.0,5.0,12.02783203125,KADID-10k,I01_17_03,I01_17_05
I01,Darken,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_17_05.png,4.0,5.0,11.988525390625,KADID-10k,I01_17_04,I01_17_05
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_02.png,1.0,2.0,2.811279296875,KADID-10k,I01_15_01,I01_15_02
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_03.png,1.0,3.0,3.871826171875,KADID-10k,I01_15_01,I01_15_03
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_04.png,1.0,4.0,9.28076171875,KADID-10k,I01_15_01,I01_15_04
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_05.png,1.0,5.0,12.84619140625,KADID-10k,I01_15_01,I01_15_05
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_03.png,2.0,3.0,1.060546875,KADID-10k,I01_15_02,I01_15_03
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_04.png,2.0,4.0,6.469482421875,KADID-10k,I01_15_02,I01_15_04
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_05.png,2.0,5.0,10.034912109375,KADID-10k,I01_15_02,I01_15_05
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_04.png,3.0,4.0,5.408935546875,KADID-10k,I01_15_03,I01_15_04
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_05.png,3.0,5.0,8.974365234375,KADID-10k,I01_15_03,I01_15_05
I01,Denoise,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_15_05.png,4.0,5.0,3.5654296875,KADID-10k,I01_15_04,I01_15_05
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_02.png,1.0,2.0,0.8857421875,KADID-10k,I01_01_01,I01_01_02
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_03.png,1.0,3.0,1.309326171875,KADID-10k,I01_01_01,I01_01_03
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_04.png,1.0,4.0,1.60888671875,KADID-10k,I01_01_01,I01_01_04
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_05.png,1.0,5.0,9.357666015625,KADID-10k,I01_01_01,I01_01_05
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_03.png,2.0,3.0,0.423583984375,KADID-10k,I01_01_02,I01_01_03
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_04.png,2.0,4.0,2.49462890625,KADID-10k,I01_01_02,I01_01_04
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_05.png,2.0,5.0,10.243408203125,KADID-10k,I01_01_02,I01_01_05
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_04.png,3.0,4.0,2.918212890625,KADID-10k,I01_01_03,I01_01_04
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_05.png,3.0,5.0,10.6669921875,KADID-10k,I01_01_03,I01_01_05
I01,Gaussian blur,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_05.png,4.0,5.0,7.748779296875,KADID-10k,I01_01_04,I01_01_05
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_02.png,1.0,2.0,0.04931640625,KADID-10k,I01_24_01,I01_24_02
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_03.png,1.0,3.0,0.39990234375,KADID-10k,I01_24_01,I01_24_03
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_04.png,1.0,4.0,1.093994140625,KADID-10k,I01_24_01,I01_24_04
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_01.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_05.png,1.0,5.0,1.6982421875,KADID-10k,I01_24_01,I01_24_05
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_03.png,2.0,3.0,0.3505859375,KADID-10k,I01_24_02,I01_24_03
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_04.png,2.0,4.0,1.044677734375,KADID-10k,I01_24_02,I01_24_04
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_02.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_05.png,2.0,5.0,1.64892578125,KADID-10k,I01_24_02,I01_24_05
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_04.png,3.0,4.0,0.694091796875,KADID-10k,I01_24_03,I01_24_04
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_03.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_05.png,3.0,5.0,1.29833984375,KADID-10k,I01_24_03,I01_24_05
I01,High sharpen,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_04.png,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_24_05.png,4.0,5.0,0.604248046875,KADID-10k,I01_24_04,I01_24_05
