dataset,ref_id,distorted_path,ref_path,distortion_type,severity_or_level,mos_or_dmos,distortion_code,distorted_id,distorted_filename,ref_filename,dmos_variance
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_06_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color quantization,5,2.27,06,I01_06_05,I01_06_05.png,I01.png,0.929
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,1,2.73,07,I01_07_01,I01_07_01.png,I01.png,1.123
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,2,2.5,07,I01_07_02,I01_07_02.png,I01.png,1.025
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,3,2.27,07,I01_07_03,I01_07_03.png,I01.png,1.062
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,4,2.47,07,I01_07_04,I01_07_04.png,I01.png,1.147
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,5,2.2,07,I01_07_05,I01_07_05.png,I01.png,0.945
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,1,4.7,08,I01_08_01,I01_08_01.png,I01.png,0.458
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,2,3.77,08,I01_08_02,I01_08_02.png,I01.png,0.616
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,3,2.73,08,I01_08_03,I01_08_03.png,I01.png,1.062
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,4,1.97,08,I01_08_04,I01_08_04.png,I01.png,0.912
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,5,1.67,08,I01_08_05,I01_08_05.png,I01.png,0.699
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,1,4.6,09,I01_09_01,I01_09_01.png,I01.png,0.49
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,2,4.67,09,I01_09_02,I01_09_02.png,I01.png,0.537
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,3,4.4,09,I01_09_03,I01_09_03.png,I01.png,0.611
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,4,2.9,09,I01_09_04,I01_09_04.png,I01.png,1.044
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,5,1.37,09,I01_09_05,I01_09_05.png,I01.png,0.547
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,1,4.37,10,I01_10_01,I01_10_01.png,I01.png,0.657
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,2,3.93,10,I01_10_02,I01_10_02.png,I01.png,0.854
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,3,3.77,10,I01_10_03,I01_10_03.png,I01.png,0.803
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,4,1.58,10,I01_10_04,I01_10_04.png,I01.png,0.555
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,5,1.17,10,I01_10_05,I01_10_05.png,I01.png,0.373
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,1,4.03,11,I01_11_01,I01_11_01.png,I01.png,0.948
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,2,3.27,11,I01_11_02,I01_11_02.png,I01.png,0.814
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,3,2.67,11,I01_11_03,I01_11_03.png,I01.png,0.745
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,4,2.27,11,I01_11_04,I01_11_04.png,I01.png,0.772
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,5,2.37,11,I01_11_05,I01_11_05.png,I01.png,0.752
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,1,4.43,12,I01_12_01,I01_12_01.png,I01.png,0.559
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,2,3.7,12,I01_12_02,I01_12_02.png,I01.png,0.69
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,3,2.77,12,I01_12_03,I01_12_03.png,I01.png,0.883
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,4,2.37,12,I01_12_04,I01_12_04.png,I01.png,0.836
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,5,1.97,12,I01_12_05,I01_12_05.png,I01.png,0.547
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,1,3.67,13,I01_13_01,I01_13_01.png,I01.png,0.789
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,2,2.87,13,I01_13_02,I01_13_02.png,I01.png,1.087
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,3,2.6,13,I01_13_03,I01_13_03.png,I01.png,0.663
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,4,2.07,13,I01_13_04,I01_13_04.png,I01.png,0.727
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,5,2.03,13,I01_13_05,I01_13_05.png,I01.png,0.657
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,1,4.57,14,I01_14_01,I01_14_01.png,I01.png,0.616
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,2,3.57,14,I01_14_02,I01_14_02.png,I01.png,1.023
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,3,3.13,14,I01_14_03,I01_14_03.png,I01.png,0.846
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,4,2.5,14,I01_14_04,I01_14_04.png,I01.png,0.764
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,5,2.27,14,I01_14_05,I01_14_05.png,I01.png,0.68
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,1,3.57,15,I01_15_01,I01_15_01.png,I01.png,0.989
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,2,2.63,15,I01_15_02,I01_15_02.png,I01.png,0.912
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,3,1.77,15,I01_15_03,I01_15_03.png,I01.png,0.607
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,4,1.4,15,I01_15_04,I01_15_04.png,I01.png,0.49
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,5,1.33,15,I01_15_05,I01_15_05.png,I01.png,0.471
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,1,4.37,16,I01_16_01,I01_16_01.png,I01.png,0.547
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,2,4.47,16,I01_16_02,I01_16_02.png,I01.png,0.562
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,3,3.94,16,I01_16_03,I01_16_03.png,I01.png,0.504
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,4,3.17,16,I01_16_04,I01_16_04.png,I01.png,0.898
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,5,2.18,16,I01_16_05,I01_16_05.png,I01.png,0.796
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,1,4.5,17,I01_17_01,I01_17_01.png,I01.png,0.5
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,2,4.57,17,I01_17_02,I01_17_02.png,I01.png,0.496
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,3,4.33,17,I01_17_03,I01_17_03.png,I01.png,0.596
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,4,3.4,17,I01_17_04,I01_17_04.png,I01.png,0.879
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,5,2.13,17,I01_17_05,I01_17_05.png,I01.png,0.846
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,1,4.5,18,I01_18_01,I01_18_01.png,I01.png,0.5
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,2,4.57,18,I01_18_02,I01_18_02.png,I01.png,0.496
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,3,4.57,18,I01_18_03,I01_18_03.png,I01.png,0.496
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,4,4.37,18,I01_18_04,I01_18_04.png,I01.png,0.795
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,5,3.97,18,I01_18_05,I01_18_05.png,I01.png,0.657
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,1,4.53,19,I01_19_01,I01_19_01.png,I01.png,0.499
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,2,3.93,19,I01_19_02,I01_19_02.png,I01.png,0.727
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,3,2.77,19,I01_19_03,I01_19_03.png,I01.png,0.803
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,4,1.53,19,I01_19_04,I01_19_04.png,I01.png,0.562
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,5,1.37,19,I01_19_05,I01_19_05.png,I01.png,0.482
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,1,4.53,20,I01_20_01,I01_20_01.png,I01.png,0.67
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,2,3.9,20,I01_20_02,I01_20_02.png,I01.png,1.136
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,3,4.0,20,I01_20_03,I01_20_03.png,I01.png,0.966
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,4,3.33,20,I01_20_04,I01_20_04.png,I01.png,1.35
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,5,3.23,20,I01_20_05,I01_20_05.png,I01.png,1.542
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,1,3.37,21,I01_21_01,I01_21_01.png,I01.png,0.948
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,2,2.57,21,I01_21_02,I01_21_02.png,I01.png,0.883
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,3,2.03,21,I01_21_03,I01_21_03.png,I01.png,0.74
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,4,2.13,21,I01_21_04,I01_21_04.png,I01.png,0.884
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,5,1.43,21,I01_21_05,I01_21_05.png,I01.png,0.559
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,1,4.63,22,I01_22_01,I01_22_01.png,I01.png,0.605
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,2,4.0,22,I01_22_02,I01_22_02.png,I01.png,0.894
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,3,4.0,22,I01_22_03,I01_22_03.png,I01.png,0.931
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,4,3.2,22,I01_22_04,I01_22_04.png,I01.png,0.98
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,5,2.2,22,I01_22_05,I01_22_05.png,I01.png,0.909
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,1,2.73,23,I01_23_01,I01_23_01.png,I01.png,0.929
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,2,2.17,23,I01_23_02,I01_23_02.png,I01.png,0.86
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,3,2.2,23,I01_23_03,I01_23_03.png,I01.png,0.945
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,4,2.37,23,I01_23_04,I01_23_04.png,I01.png,1.197
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,5,1.57,23,I01_23_05,I01_23_05.png,I01.png,0.616
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,1,3.57,24,I01_24_01,I01_24_01.png,I01.png,0.92
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,2,2.5,24,I01_24_02,I01_24_02.png,I01.png,0.847
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,3,1.87,24,I01_24_03,I01_24_03.png,I01.png,0.67
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,4,1.6,24,I01_24_04,I01_24_04.png,I01.png,0.554
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_24_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,High sharpen,5,1.4,24,I01_24_05,I01_24_05.png,I01.png,0.554
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,1,3.43,25,I01_25_01,I01_25_01.png,I01.png,0.844
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,2,3.87,25,I01_25_02,I01_25_02.png,I01.png,0.806
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,3,4.26,25,I01_25_03,I01_25_03.png,I01.png,0.566
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,4,4.17,25,I01_25_04,I01_25_04.png,I01.png,0.582
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_25_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Contrast change,5,3.27,25,I01_25_05,I01_25_05.png,I01.png,0.854
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_01.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,1,4.5,01,I02_01_01,I02_01_01.png,I02.png,0.719
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,2,4.17,01,I02_01_02,I02_01_02.png,I02.png,0.934
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_03.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,3,2.07,01,I02_01_03,I02_01_03.png,I02.png,0.772
KADID-10k,I02,/data/projectwork/swati_mam/kadid10k/images/I02_01_04.png,/data/projectwork/swati_mam/kadid10k/images/I02.png,Gaussian blur,4,1.57,01,I02_01_04,I02_01_04.png,I02.png,0.496
