dataset,ref_id,distorted_path,ref_path,distortion_type,severity_or_level,mos_or_dmos,D_WACV,PSNR,SSIM,NIQE,LPIPS
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_07_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 1,5,2.2,2807.513671875,14.662979960585856,0.8236055970191956,2.9190847263558517,0.30043742060661316
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,1,4.7,2799.4638671875,inf,1.0,2.73810367803899,0.0
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,2,3.77,2800.6357421875,16.601681522670575,0.8181365927060446,2.6203806446941056,0.11802683025598526
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,3,2.73,2802.992919921875,12.294968459918517,0.6599132617314657,3.001597377208895,0.2081231325864792
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,4,1.97,2808.270751953125,10.34438109474893,0.5414419869581858,3.096977007489654,0.3039968013763428
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_08_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color saturation 2,5,1.67,2812.467529296875,9.375738801805321,0.45697371040781337,3.322270089581896,0.373963326215744
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,1,4.6,2799.132568359375,42.23494447693444,0.9833773970603943,3.0271425874273965,0.0027399626560509205
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,2,4.67,2798.7431640625,36.491674194971694,0.9547074437141418,4.016559408021159,0.020048802718520164
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,3,4.4,2798.723876953125,33.621031230619806,0.9262387951215109,4.65558149431281,0.029494907706975937
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,4,2.9,2798.963134765625,27.33297598827533,0.8150039911270142,7.277699009687317,0.16450650990009308
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_09_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG2000,5,1.37,2797.307373046875,22.35659500641811,0.6311943332354227,10.731728029177766,0.4422090947628021
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,1,4.37,2799.505126953125,30.21228908025516,0.9010056853294373,3.59266131761651,0.043519195169210434
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,2,3.93,2799.535400390625,29.65108054324665,0.8914682666460673,3.686028730382472,0.0501883402466774
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,3,3.77,2799.43359375,28.282595151039146,0.8635132710138956,4.486881025858519,0.082300566136837
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,4,1.58,2802.013671875,23.94019580770434,0.7204018235206604,7.96150830808009,0.23513641953468323
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_10_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,JPEG,5,1.17,2804.965576171875,21.488008130880395,0.6296654542287191,11.481090346368537,0.3410596251487732
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,1,4.03,2805.14990234375,30.087477120557395,0.7610350052515665,5.2220880469898425,0.07005725800991058
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,2,3.27,2808.17431640625,27.101697308807047,0.6483030716578165,6.354935621529385,0.12894290685653687
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,3,2.67,2809.61279296875,25.355677016635035,0.5772637128829956,7.714132025238678,0.16767644882202148
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,4,2.27,2812.933349609375,23.176934752330105,0.4891500969727834,10.178550248022116,0.2464459240436554
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_11_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise,5,2.37,2815.40576171875,20.315100043267087,0.3793580134709676,13.536376103781729,0.3915005028247833
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,1,4.43,2802.235107421875,34.17765144401665,0.880656103293101,3.6092933691352607,0.03242163360118866
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,2,3.7,2807.720703125,27.284956629298918,0.6668731768925985,6.041264601915078,0.14155305922031403
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,3,2.77,2810.960205078125,24.348574585439753,0.5493883093198141,8.001101127572419,0.21488447487354279
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,4,2.37,2814.110107421875,21.4434950385342,0.4348923861980438,9.478213284027161,0.3536720275878906
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_12_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,White noise in color component,5,1.97,2816.078369140625,19.793113417275887,0.37254078189531964,10.707379274061669,0.43922796845436096
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,1,3.67,2800.2353515625,35.00936599870889,0.9784095287322998,2.8198617242470263,0.02142416313290596
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,2,2.87,2803.93701171875,27.92533686729552,0.8923728863398234,5.612643172401663,0.10458685457706451
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,3,2.6,2807.569091796875,25.220018638297255,0.8112384875615438,8.760136432303204,0.16763582825660706
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,4,2.07,2813.676513671875,21.974508019436616,0.6634811361630758,13.166168024854523,0.2927093803882599
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_13_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Impulse noise,5,2.03,2815.343505859375,20.236641188140943,0.5624251961708069,14.142278901109748,0.399539053440094
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,1,4.57,2801.173828125,35.51589731975901,0.8963182965914408,3.0726756664039048,0.023815693333745003
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,2,3.57,2804.92041015625,28.535545521352436,0.7266258398691813,4.7517457719604925,0.10309350490570068
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,3,3.13,2807.07666015625,25.529828847400303,0.6365283926328024,5.005871603576068,0.1667906790971756
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,4,2.5,2809.0185546875,22.611035558262948,0.5496198435624441,5.881031826408749,0.2598101496696472
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_14_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Multiplicative noise,5,2.27,2814.1826171875,18.85690686968716,0.43594584862391156,6.464932636993366,0.4370781183242798
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,1,3.57,2800.75390625,28.615886628949212,0.8308834830919901,3.3315253342006006,0.08077941089868546
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,2,2.63,2803.564208984375,25.533786332726276,0.7308898766835531,4.4511578040460344,0.14209112524986267
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,3,1.77,2804.62451171875,24.45058369079262,0.6605204145113627,4.376562281236998,0.21109171211719513
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,4,1.4,2810.03515625,22.134919854482348,0.5243746638298035,4.424258775159398,0.35084038972854614
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_15_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Denoise,5,1.33,2813.59814453125,19.89407347987941,0.4043065806229909,6.141793833455503,0.47512462735176086
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,1,4.37,2799.793212890625,27.954060480147007,0.9904478987058004,2.718313477807892,0.0034397458657622337
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,2,4.47,2800.182373046875,21.950817233498285,0.9698909322420756,2.781435931154539,0.012199575081467628
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,3,3.94,2801.313720703125,15.915796523644044,0.9088130791982015,2.7615219099161252,0.042103223502635956
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,4,3.17,2806.855224609375,11.279279836536432,0.783979078133901,2.859150883211305,0.12131837010383606
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_16_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Brighten,5,2.18,2815.145751953125,8.783838925580769,0.6239947477976481,4.152234856903055,0.2515605092048645
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,1,4.5,2799.244873046875,34.30423901099597,0.9976303776105245,2.7300241791457784,0.0011252177646383643
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,2,4.57,2799.048583984375,28.095767717504504,0.9901004830996195,2.6939303390855014,0.004671215079724789
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,3,4.33,2798.77294921875,22.158793254321644,0.9581363797187805,2.647001622084403,0.018160931766033173
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,4,3.4,2798.8115234375,16.099083020677757,0.8061309854189554,2.762595311708158,0.06860940903425217
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_17_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Darken,5,2.13,2810.80078125,10.3456993899443,0.40752069155375165,4.523672946535136,0.26687827706336975
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,1,4.5,2799.4111328125,20.683404240284315,0.9774771134058634,2.7281189699003323,0.009477687068283558
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,2,4.57,2799.27294921875,26.764820581302814,0.9939165314038595,2.7334342207742153,0.0025120112113654613
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,3,4.57,2799.4638671875,inf,1.0,2.73810367803899,0.0
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,4,4.37,2801.47021484375,26.46001823273588,0.915760854880015,2.6368515247376507,0.007888918742537498
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_18_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Mean shift,5,3.97,2803.465087890625,21.054789605387004,0.8243368268013,2.8114910627939884,0.03126274049282074
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,1,4.53,2799.83544921875,33.9228823529095,0.9853493968645731,2.694876918199298,0.003813370130956173
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,2,3.93,2800.237060546875,30.06547476775487,0.965640644232432,2.8453714619158688,0.016939949244260788
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,3,2.77,2801.620361328125,23.81510143610448,0.8871653079986572,4.247161727373556,0.09090904891490936
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,4,1.53,2804.25439453125,22.073601754642876,0.7453854084014893,7.364758361057385,0.3139367699623108
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_19_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Jitter,5,1.37,2811.311767578125,19.369698324926155,0.5492581923802694,10.859278496108688,0.5168419480323792
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,1,4.53,2799.511474609375,32.70974640416192,0.9852854013442993,2.7768460758684728,0.0069136121310293674
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,2,3.9,2800.341064453125,26.783315319522174,0.9562326272328695,2.73287193050172,0.03717919811606407
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,3,4.0,2799.80029296875,25.707162320680794,0.9384375015894572,2.6118120980855437,0.02850700169801712
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,4,3.33,2799.767578125,25.38282116287077,0.9169674118359884,2.7373590588641417,0.05380673334002495
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_20_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Non-eccentricity patch,5,3.23,2799.43798828125,23.94564705580564,0.909075935681661,2.6801622348725886,0.06076248735189438
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,1,3.37,2798.872314453125,24.238974994099287,0.865786095460256,3.17013204936738,0.0540977418422699
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,2,2.57,2800.27978515625,23.225235488741212,0.8391368985176086,4.62549719521801,0.08583782613277435
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,3,2.03,2800.853271484375,23.57016118497784,0.8461392919222513,5.557324804031527,0.10254033654928207
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,4,2.13,2800.819580078125,23.451575045008465,0.8289407889048258,7.052369609082985,0.11423350870609283
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_21_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Pixelate,5,1.43,2800.00537109375,19.672675250205415,0.6451403896013895,13.490896377637975,0.3197420537471771
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,1,4.63,2802.87890625,31.51292869394695,0.9307203491528829,2.673875557160872,0.01481019239872694
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,2,4.0,2803.906005859375,29.701694114986946,0.9027892748514811,2.9976503597767126,0.02295665442943573
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,3,4.0,2805.565673828125,27.614027158618676,0.862381378809611,3.4462884583801214,0.038590531796216965
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,4,3.2,2807.060546875,23.01517096424776,0.8070928057034811,3.8172220770458214,0.08589740097522736
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_22_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Quantization,5,2.2,2808.365234375,20.727464431648546,0.7673236529032389,5.74800269329588,0.11557479947805405
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,1,2.73,2799.1416015625,29.694681258728007,0.9869001110394796,3.015841514317677,0.039444759488105774
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,2,2.17,2800.32763671875,24.067537058010117,0.9583577315012614,3.7585872277109806,0.08628080040216446
KADID-10k,I01,/data/projectwork/swati_mam/kadid10k/images/I01_23_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Color block,3,2.2,2798.138671875,21.917132621444473,0.9689633846282959,2.6631947965174194,0.06168521195650101
