dataset,image_id,ref_id,distorted_path,ref_path,distortion_type,distortion_code,severity_or_level,mos_or_dmos,split,distorted_path_original,group_B,EA_tsne_x,EA_tsne_y,EH_tsne_x,EH_tsne_y
KADID-10k,I26_04_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color diffusion,,3.0,2.9,val,/data/projectwork/swati_mam/kadid10k/images/I26_04_03.png,other,39.503624,-5.9643755,-14.770929,4.6701717
KADID-10k,I26_04_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color diffusion,,4.0,2.33,val,/data/projectwork/swati_mam/kadid10k/images/I26_04_04.png,other,40.057354,-5.6025543,-15.79669,5.1974316
KADID-10k,I26_04_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_04_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color diffusion,,5.0,2.07,val,/data/projectwork/swati_mam/kadid10k/images/I26_04_05.png,other,40.70204,-5.144998,-29.124931,5.127094
KADID-10k,I26_05_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color shift,,1.0,4.43,val,/data/projectwork/swati_mam/kadid10k/images/I26_05_01.png,other,26.529047,-32.625004,-8.987639,-33.64702
KADID-10k,I26_05_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color shift,,2.0,2.64,val,/data/projectwork/swati_mam/kadid10k/images/I26_05_02.png,other,-5.0606103,-15.788958,-9.480673,-33.227573
KADID-10k,I26_05_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color shift,,3.0,1.57,val,/data/projectwork/swati_mam/kadid10k/images/I26_05_03.png,other,-5.055157,-15.3312235,-10.411353,-30.450323
KADID-10k,I26_05_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color shift,,4.0,1.77,val,/data/projectwork/swati_mam/kadid10k/images/I26_05_04.png,other,-5.1104107,-15.293031,-10.472937,-31.063234
KADID-10k,I26_05_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_05_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color shift,,5.0,1.53,val,/data/projectwork/swati_mam/kadid10k/images/I26_05_05.png,other,-5.239622,-14.293904,-10.408921,-31.231152
KADID-10k,I26_06_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color quantization,,1.0,4.57,val,/data/projectwork/swati_mam/kadid10k/images/I26_06_01.png,other,29.109594,-9.385613,-10.020876,-28.965816
KADID-10k,I26_06_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color quantization,,2.0,4.39,val,/data/projectwork/swati_mam/kadid10k/images/I26_06_02.png,other,29.109484,-9.292672,-10.267481,-28.409134
KADID-10k,I26_06_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color quantization,,3.0,4.0,val,/data/projectwork/swati_mam/kadid10k/images/I26_06_03.png,other,29.067162,-9.277132,-10.334438,-28.58565
KADID-10k,I26_06_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color quantization,,4.0,3.53,val,/data/projectwork/swati_mam/kadid10k/images/I26_06_04.png,other,31.15772,-4.946798,-9.838319,-14.841947
KADID-10k,I26_06_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_06_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color quantization,,5.0,2.6,val,/data/projectwork/swati_mam/kadid10k/images/I26_06_05.png,other,30.719048,-4.900974,-9.862557,-14.79944
KADID-10k,I26_07_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 1,,1.0,2.6,val,/data/projectwork/swati_mam/kadid10k/images/I26_07_01.png,other,13.419701,-34.19834,-8.7084875,-37.814713
KADID-10k,I26_07_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 1,,2.0,2.3,val,/data/projectwork/swati_mam/kadid10k/images/I26_07_02.png,other,13.342653,-34.179947,-9.357801,-37.79621
KADID-10k,I26_07_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 1,,3.0,2.47,val,/data/projectwork/swati_mam/kadid10k/images/I26_07_03.png,other,13.325585,-34.170944,-10.647597,-36.41633
KADID-10k,I26_07_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 1,,4.0,2.47,val,/data/projectwork/swati_mam/kadid10k/images/I26_07_04.png,other,13.314725,-34.159397,-7.671393,-29.82817
KADID-10k,I26_07_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_07_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 1,,5.0,2.6,val,/data/projectwork/swati_mam/kadid10k/images/I26_07_05.png,other,-16.973295,-7.0568495,3.6507154,-41.250996
KADID-10k,I26_08_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 2,,1.0,4.67,val,/data/projectwork/swati_mam/kadid10k/images/I26_08_01.png,other,26.253206,-29.499222,-7.935991,-36.137394
KADID-10k,I26_08_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 2,,2.0,3.37,val,/data/projectwork/swati_mam/kadid10k/images/I26_08_02.png,other,35.863956,-9.365082,-9.508264,-27.541334
KADID-10k,I26_08_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 2,,3.0,3.53,val,/data/projectwork/swati_mam/kadid10k/images/I26_08_03.png,other,37.870007,-5.9238663,-10.002451,-24.6488
KADID-10k,I26_08_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 2,,4.0,2.73,val,/data/projectwork/swati_mam/kadid10k/images/I26_08_04.png,other,40.468555,-3.130558,3.399736,3.3690472
KADID-10k,I26_08_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_08_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Color saturation 2,,5.0,1.77,val,/data/projectwork/swati_mam/kadid10k/images/I26_08_05.png,other,40.78425,-2.6631458,3.3668308,3.32455
KADID-10k,I26_09_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG2000,,1.0,4.57,val,/data/projectwork/swati_mam/kadid10k/images/I26_09_01.png,other,26.038399,-30.24354,-8.061319,-36.805653
KADID-10k,I26_09_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG2000,,2.0,4.63,val,/data/projectwork/swati_mam/kadid10k/images/I26_09_02.png,other,26.125515,-30.661667,-8.009415,-38.463104
KADID-10k,I26_09_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG2000,,3.0,4.3,val,/data/projectwork/swati_mam/kadid10k/images/I26_09_03.png,other,26.22174,-31.726583,-7.901971,-38.90862
KADID-10k,I26_09_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG2000,,4.0,2.67,val,/data/projectwork/swati_mam/kadid10k/images/I26_09_04.png,other,-5.178254,-17.739594,-4.057068,-39.862514
KADID-10k,I26_09_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_09_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG2000,,5.0,1.57,val,/data/projectwork/swati_mam/kadid10k/images/I26_09_05.png,other,-16.484797,-4.5248537,-3.0178294,-40.086723
KADID-10k,I26_10_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,,1.0,4.6,val,/data/projectwork/swati_mam/kadid10k/images/I26_10_01.png,other,26.983648,-31.503437,-8.273266,-36.4625
KADID-10k,I26_10_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,,2.0,4.1,val,/data/projectwork/swati_mam/kadid10k/images/I26_10_02.png,other,27.142553,-31.36186,-7.506841,-36.45617
KADID-10k,I26_10_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,,3.0,3.93,val,/data/projectwork/swati_mam/kadid10k/images/I26_10_03.png,other,27.08882,-30.756046,-8.610863,-36.105576
KADID-10k,I26_10_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,,4.0,2.53,val,/data/projectwork/swati_mam/kadid10k/images/I26_10_04.png,other,26.958498,-32.01259,-9.776356,-32.341743
KADID-10k,I26_10_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_10_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,JPEG,,5.0,1.5,val,/data/projectwork/swati_mam/kadid10k/images/I26_10_05.png,other,26.627428,-33.020237,-7.3790765,-27.78429
KADID-10k,I26_11_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_11_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise,,1.0,3.9,val,/data/projectwork/swati_mam/kadid10k/images/I26_11_01.png,noise,22.60322,-24.66668,-9.118706,-25.665375
KADID-10k,I26_11_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_11_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise,,2.0,3.3,val,/data/projectwork/swati_mam/kadid10k/images/I26_11_02.png,noise,21.902626,-24.307232,-14.068464,4.4976425
KADID-10k,I26_11_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_11_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise,,3.0,3.27,val,/data/projectwork/swati_mam/kadid10k/images/I26_11_03.png,noise,21.40857,-24.229046,-15.305758,4.226405
KADID-10k,I26_11_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_11_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise,,4.0,2.8,val,/data/projectwork/swati_mam/kadid10k/images/I26_11_04.png,noise,20.708067,-23.979296,-28.45399,4.663123
KADID-10k,I26_11_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_11_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise,,5.0,2.47,val,/data/projectwork/swati_mam/kadid10k/images/I26_11_05.png,noise,19.800692,-23.662035,-28.724962,4.0266013
KADID-10k,I26_12_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_12_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise in color component,,1.0,4.53,val,/data/projectwork/swati_mam/kadid10k/images/I26_12_01.png,noise,24.912172,-26.961332,-9.186905,-28.63924
KADID-10k,I26_12_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_12_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise in color component,,2.0,3.77,val,/data/projectwork/swati_mam/kadid10k/images/I26_12_02.png,noise,21.665503,-24.236675,-13.933634,4.537329
KADID-10k,I26_12_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_12_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise in color component,,3.0,2.9,val,/data/projectwork/swati_mam/kadid10k/images/I26_12_03.png,noise,20.895735,-23.957157,-15.482506,4.21139
KADID-10k,I26_12_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_12_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise in color component,,4.0,2.8,val,/data/projectwork/swati_mam/kadid10k/images/I26_12_04.png,noise,20.1849,-23.702934,-28.508375,4.754368
KADID-10k,I26_12_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_12_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,White noise in color component,,5.0,2.3,val,/data/projectwork/swati_mam/kadid10k/images/I26_12_05.png,noise,19.619558,-23.217709,-28.685114,4.1887636
KADID-10k,I26_13_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_13_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Impulse noise,,1.0,3.4,val,/data/projectwork/swati_mam/kadid10k/images/I26_13_01.png,noise,25.829123,-28.56262,-8.687396,-34.156963
KADID-10k,I26_13_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_13_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Impulse noise,,2.0,2.9,val,/data/projectwork/swati_mam/kadid10k/images/I26_13_02.png,noise,24.582582,-26.153978,-8.946925,-26.031889
KADID-10k,I26_13_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_13_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Impulse noise,,3.0,2.73,val,/data/projectwork/swati_mam/kadid10k/images/I26_13_03.png,noise,22.759706,-23.84494,-14.036707,4.5096793
KADID-10k,I26_13_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_13_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Impulse noise,,4.0,2.29,val,/data/projectwork/swati_mam/kadid10k/images/I26_13_04.png,noise,21.458864,-22.744192,-15.737653,4.225467
KADID-10k,I26_13_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_13_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Impulse noise,,5.0,2.3,val,/data/projectwork/swati_mam/kadid10k/images/I26_13_05.png,noise,20.396542,-22.754086,-28.772442,4.0212784
KADID-10k,I26_14_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_14_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Multiplicative noise,,1.0,4.67,val,/data/projectwork/swati_mam/kadid10k/images/I26_14_01.png,noise,25.334696,-27.561884,-8.385452,-35.223488
KADID-10k,I26_14_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_14_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Multiplicative noise,,2.0,3.84,val,/data/projectwork/swati_mam/kadid10k/images/I26_14_02.png,noise,22.556282,-24.692787,-8.753455,-28.249727
KADID-10k,I26_14_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_14_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Multiplicative noise,,3.0,3.03,val,/data/projectwork/swati_mam/kadid10k/images/I26_14_03.png,noise,21.984388,-24.23142,-8.80788,-25.487455
KADID-10k,I26_14_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_14_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Multiplicative noise,,4.0,2.73,val,/data/projectwork/swati_mam/kadid10k/images/I26_14_04.png,noise,21.260868,-23.85995,-13.584387,4.3926816
KADID-10k,I26_14_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_14_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Multiplicative noise,,5.0,2.23,val,/data/projectwork/swati_mam/kadid10k/images/I26_14_05.png,noise,19.975565,-23.219286,-28.294546,4.943103
KADID-10k,I26_15_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Denoise,,1.0,3.87,val,/data/projectwork/swati_mam/kadid10k/images/I26_15_01.png,noise,-5.152091,-13.676624,-9.085142,-28.871033
KADID-10k,I26_15_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Denoise,,2.0,3.43,val,/data/projectwork/swati_mam/kadid10k/images/I26_15_02.png,noise,-17.009907,-6.499263,-8.771773,-27.242434
KADID-10k,I26_15_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Denoise,,3.0,2.5,val,/data/projectwork/swati_mam/kadid10k/images/I26_15_03.png,noise,-18.713158,-5.7446795,-8.184005,-25.230843
KADID-10k,I26_15_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Denoise,,4.0,2.07,val,/data/projectwork/swati_mam/kadid10k/images/I26_15_04.png,noise,-18.936691,-5.912108,-9.999827,-0.28153393
KADID-10k,I26_15_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_15_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Denoise,,5.0,1.47,val,/data/projectwork/swati_mam/kadid10k/images/I26_15_05.png,noise,-19.716307,-5.949805,-12.661264,-0.8884739
KADID-10k,I26_16_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Brighten,,1.0,4.83,val,/data/projectwork/swati_mam/kadid10k/images/I26_16_01.png,other,24.56494,-31.028744,-8.751192,-34.68988
KADID-10k,I26_16_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Brighten,,2.0,4.3,val,/data/projectwork/swati_mam/kadid10k/images/I26_16_02.png,other,15.412256,-32.035133,-9.017684,-33.29267
KADID-10k,I26_16_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Brighten,,3.0,3.57,val,/data/projectwork/swati_mam/kadid10k/images/I26_16_03.png,other,15.196277,0.053135686,-9.341828,-28.397789
KADID-10k,I26_16_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Brighten,,4.0,2.93,val,/data/projectwork/swati_mam/kadid10k/images/I26_16_04.png,other,17.142473,-2.7485054,-6.0721536,-9.693756
KADID-10k,I26_16_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_16_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Brighten,,5.0,1.97,val,/data/projectwork/swati_mam/kadid10k/images/I26_16_05.png,other,17.796095,-4.7968965,-16.246607,3.5036776
KADID-10k,I26_17_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Darken,,1.0,4.5,val,/data/projectwork/swati_mam/kadid10k/images/I26_17_01.png,other,26.579823,-28.30624,-7.465687,-36.856853
KADID-10k,I26_17_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Darken,,2.0,4.37,val,/data/projectwork/swati_mam/kadid10k/images/I26_17_02.png,other,27.1647,-27.428417,-6.9593964,-37.306393
KADID-10k,I26_17_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Darken,,3.0,4.0,val,/data/projectwork/swati_mam/kadid10k/images/I26_17_03.png,other,29.525856,-26.23904,-5.8291426,-38.2197
KADID-10k,I26_17_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Darken,,4.0,3.37,val,/data/projectwork/swati_mam/kadid10k/images/I26_17_04.png,other,36.469154,-9.408126,-4.9457464,-38.64
KADID-10k,I26_17_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_17_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Darken,,5.0,1.77,val,/data/projectwork/swati_mam/kadid10k/images/I26_17_05.png,other,42.19074,-2.452583,-15.895638,5.7069483
KADID-10k,I26_18_01,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_18_01.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Mean shift,,1.0,4.5,val,/data/projectwork/swati_mam/kadid10k/images/I26_18_01.png,other,27.888342,-7.13491,-8.73446,-34.431335
KADID-10k,I26_18_02,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_18_02.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Mean shift,,2.0,4.57,val,/data/projectwork/swati_mam/kadid10k/images/I26_18_02.png,other,28.421036,-8.803408,-8.386682,-35.66457
KADID-10k,I26_18_03,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_18_03.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Mean shift,,3.0,4.74,val,/data/projectwork/swati_mam/kadid10k/images/I26_18_03.png,other,25.965551,-29.531816,-7.9363756,-36.137684
KADID-10k,I26_18_04,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_18_04.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Mean shift,,4.0,4.23,val,/data/projectwork/swati_mam/kadid10k/images/I26_18_04.png,other,33.544525,-8.17811,8.565764,-25.596334
KADID-10k,I26_18_05,I26,/data/projectwork/swati_mam/new model data/kadid10k/images/I26_18_05.png,/data/projectwork/swati_mam/kadid10k/images/I26.png,Mean shift,,5.0,3.87,val,/data/projectwork/swati_mam/kadid10k/images/I26_18_05.png,other,37.278835,-5.129155,8.66597,-25.610424
